id,document,tag,content
1,1942 - Australian Commandos Have Secret Plans.txt,Commando praise,described as men of ideal
2,1942 - Australian Commandos Have Secret Plans.txt,Commando training,speciallydesigned land training
3,1942 - Australian Commandos Have Secret Plans.txt,Commandos at war,helpedby the Malaya
4,1942 - Australian Commandos Have Secret Plans.txt,Commando praise,If they are called uplonwe kiuow.that perform splendndly
5,1942 - Australian Commandos Have Secret Plans.txt,Commando praise,"will:prov’ide formidable, even”it orthodox,opposition; :for,‘the enemy"
6,1942 - Australian Commandos.txt,Commando praise,high pitch of toughness and resourcefulness
7,1942 - COMMANDOS.txt,Commando praise,daringexploits
7,1942 - COMMANDOS.txt,Commandos at war,daringexploits
9,1942 - COMMANDOS.txt,Commando praise,most satisfactory
8,1942 - COMMANDOS.txt,Commando praise,eagerto pit their skill and daring
8,1942 - COMMANDOS.txt,Commando training,eagerto pit their skill and daring
10,1942 - COMMANDOS.txt,Commando praise,"Without disclosingfull details of training, the Minister the methodsof statedthat they were most exacting, with realism,vigourand guile"
10,1942 - COMMANDOS.txt,Commando training,"Without disclosingfull details of training, the Minister the methodsof statedthat they were most exacting, with realism,vigourand guile"
11,1942 - COMMANDOS.txt,Commando training,"unarmed combat, wrestling, ju-jitsu, stalking, bushcraft, art silentslaying,effective ways of tage and other methods"
12,1942 - COMMANDOS.txt,Commando praise,excellent physique and the rigorous training
12,1942 - COMMANDOS.txt,Commando training,excellent physique and the rigorous training
13,1942 - WORK OF AUSTRALIAN COMMANDOS.txt,Commandos at war,Malaya
13,1942 - WORK OF AUSTRALIAN COMMANDOS.txt,Areas of battle,Malaya
14,1942 - WORK OF AUSTRALIAN COMMANDOS.txt,Commandos at war,"raids on enemy to bring back a prisoner questioning, for"
15,1942 - WORK OF AUSTRALIAN COMMANDOS.txt,Areas of battle,Dutch Boer
16,1942 - WORK OF AUSTRALIAN COMMANDOS.txt,Commando praise,masters proved art. of this type of warfare
16,1942 - WORK OF AUSTRALIAN COMMANDOS.txt,Commandos at war,masters proved art. of this type of warfare
17,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Commando praise,AUDACIOUS AUSTRALIAN COMMANDOS
18,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Areas of battle,New Guinea Epic
19,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Commando praise,Despite overwhelming odds
19,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Commandos at war,Despite overwhelming odds
20,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Specific commandos,"25-year-old leader, Lt-Col Fleay"
21,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Commandos at war,For all the heavytolltakenof Japanese
22,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Commandos at war,Outnumbered nition the by as manyas 40 to 1
23,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Commando praise,"careful planning, every man thoroughly acquainted with his ticularjob"
23,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Commandos at war,"careful planning, every man thoroughly acquainted with his ticularjob"
24,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Commandos at war,"Fleay took 70 tommy guns, hiding them houses where"
24,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Specific commandos,"Fleay took 70 tommy guns, hiding them houses where"
25,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Commandos at war,"1am, when the signal given,every one quartered"
26,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Commando praise,Every enemy sentry was covered
26,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Commandos at war,Every enemy sentry was covered
27,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Commandos at war,Japanese attack on to Wau
27,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Areas of battle,Japanese attack on to Wau
28,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Areas of battle,Mubo
29,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Specific commandos,Lt-Col Fleay
30,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Commando praise,"aftereluding the dili-gently searchingenemy, Lt-Col Fleay got back"
30,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Commandos at war,"aftereluding the dili-gently searchingenemy, Lt-Col Fleay got back"
30,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Specific commandos,"aftereluding the dili-gently searchingenemy, Lt-Col Fleay got back"
31,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Areas of battle,"Wau, where a raid"
32,1943 - AUDACIOUS AUSTRALIAN COMMANDOS.txt,Areas of battle,Wau
33,1943 - Australian Commandos Had Grim Task Against,Areas of battle,Guinea New
34,1943 - Australian Commandos Had Grim Task Against,Specific commandos,Lt.-Col. NormanL
35,1943 - Australian Commandos Had Grim Task Against,Commando praise,four officers sneaked into the town and counted the Japanese there
35,1943 - Australian Commandos Had Grim Task Against,Commandos at war,four officers sneaked into the town and counted the Japanese there
36,1943 - Australian Commandos Had Grim Task Against,Specific commandos,Col. Fleay
37,1943 - Australian Commandos Had Grim Task Against,Specific commandos,Lieut.-Col.Fleny
38,1943 - Australian Commandos Had Grim Task Against,Areas of battle,sent to Salamaua-Mubo-Wau area.
39,1943 - Australian Commandos Had Grim Task Against,Areas of battle,Wau
40,1943 - Australian Commandos Had Grim Task Against,Commandos at war,“Thc Japs discovered my little party
41,1943 - Australian Commandos Had Grim Task Against,Commandos at war,We hid underhouses in whichthe Japs were quartered. I can still hear the noise the Japs made as they tramped about
42,1943 - Australian Commandos Had Grim Task Against,Commandos at war,We posted sentries while the rest of us tried to get some sleep
43,1943 - Australian Commandos Had Grim Task Against,Commando praise,every Jap sentry was shot dead
43,1943 - Australian Commandos Had Grim Task Against,Commandos at war,every Jap sentry was shot dead
44,1943 - Australian Commandos Had Grim Task Against,Commandos at war,Then we threw grenadesinto every Jap-occupiedhouse. Every Jap who came out was tommy-gunned.
45,1943 - Australian Commandos Had Grim Task Against,Commandos at war,"We took a mortar with us, and fired 300 roundsfrom it beforedawn."
46,1943 - Australian Commandos Had Grim Task Against,Commando praise,We killed 100 Japs without loss
46,1943 - Australian Commandos Had Grim Task Against,Commandos at war,We killed 100 Japs without loss
47,1943 - Australian Commandos Had Grim Task Against,Commandos at war,but he hid up to his neckin a swamp for eighthours.
48,1943 - Australian Commandos Had Grim Task Against,Commando praise,The day afterthe Salamaua raid we raided Lae with equalsuccess
